molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
DMC,-1.3099999999999998,0.09000000000000008,0.9999865661843135,-0.9999865661843135
DMC,-1.2999999999999998,0.10000000000000009,0.9999802216868553,-0.9999802216868553
DMC,-1.2899999999999998,0.1100000000000001,0.999970880909204,-0.999970880909204
DMC,-1.2799999999999998,0.1200000000000001,0.9999571289168091,-0.9999571289168091
DMC,-1.2699999999999998,0.13000000000000012,0.9999368827189725,-0.9999368827189725
DMC,-1.2599999999999998,0.14000000000000012,0.9999070759874527,-0.9999070759874527
DMC,-1.2499999999999998,0.15000000000000013,0.9998631951437612,-0.9998631951437612
DMC,-1.2399999999999998,0.16000000000000014,0.9997985969359902,-0.9997985969359902
DMC,-1.2299999999999998,0.17000000000000015,0.9997035049932728,-0.9997035049932728
DMC,-1.2199999999999998,0.18000000000000016,0.9995635352325525,-0.9995635352325525
DMC,-1.2099999999999997,0.19000000000000017,0.9993575308244278,-0.9993575308244278
DMC,-1.1999999999999997,0.20000000000000018,0.9990543876044655,-0.9990543876044655
DMC,-1.1899999999999997,0.2100000000000002,0.998608408196205,-0.998608408196205
